bag,relative_sec,level,message
25july.bag,27.711036138,30,"Rejected frontier (-1.16, 17.56): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=3, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=298)."
25july.bag,27.751104444,30,"Rejected frontier (-0.61, 16.86): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=2, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=299)."
25july.bag,27.898567569,30,"Rejected frontier (-0.71, 16.66): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=18, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=283)."
25july.bag,27.945915804,30,"Rejected frontier (-2.46, 18.21): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,28.252969865,30,"Rejected frontier (-2.01, 16.81): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=1, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=300)."
25july.bag,28.366810151,30,"Rejected frontier (-3.31, 17.66): no safe interior on-path goal; 301 rejected samples (maximum backward search distance reached=1, unknown occupancy cell in clearance circle=301)."
25july.bag,28.512519189,30,"Rejected frontier (-3.26, 16.81): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=25, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=276)."
25july.bag,28.626252459,30,"Rejected frontier (-2.01, 15.56): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=92, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=209)."
25july.bag,28.800707941,30,"Rejected frontier (-2.11, 15.36): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=61, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=240)."
25july.bag,28.898889576,30,"Rejected frontier (-2.76, 15.91): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=78, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=223)."
25july.bag,28.993365836,30,"Rejected frontier (-2.96, 16.01): no safe interior on-path goal; 301 rejected samples (costmap: unknown cell in safety area=77, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=224)."
25july.bag,29.129800251,30,"Rejected frontier (6.89, 7.46): no safe interior on-path goal; 301 rejected samples (costmap: cost threshold exceeded=31, costmap: unknown cell in safety area=54, maximum backward search distance reached=1, unknown occupancy cell in clearance circle=216)."
