stamp_s,elapsed_s,global_x_m,global_y_m,interpolated_direct_utm_x_m,interpolated_direct_utm_y_m,global_to_direct_utm_m,global_to_centreline_m
1787657853.5620914,4.736098289489746,78.09525726540383,63.94810255692782,446.6895380488858,379.14610429204527,484.98610714545566,342.9505845102448
1787657853.5900912,4.764098167419434,78.09575457960182,63.948481681847746,446.68929215687996,379.144547870726,484.98428436875776,342.94998794826074
1787657853.622092,4.796098947525024,78.09633411525235,63.9489236217529,446.6890111293688,379.14276905238563,484.982187039671,342.94929271058646
1787657853.660092,4.834099054336548,78.09500186083426,63.947907453240035,446.68867741639656,379.1406567511633,484.9822335607178,342.9508910203208
1787657853.687092,4.861099004745483,78.09500286723764,63.94790863090346,446.68844030564986,379.13915591253317,484.9810764201158,342.95088967357975
1787657853.722095,4.896101951599121,78.09500485904928,63.94791079008869,446.6881329134236,379.1372102135963,484.9795753637363,342.9508870665043
1787657853.7630951,4.9371020793914795,78.09500817684355,63.947914229730394,446.68777285458026,379.1349311510536,484.9778157901038,342.950882777196
1787657853.7920952,4.966102123260498,78.09254590334487,63.94693339350794,446.6875181792215,379.13331913379227,484.979083407808,342.9535318336512
1787657853.8210995,4.99510645866394,78.09177659654127,63.94662885219736,446.687263466175,379.1317068779786,484.97862463285963,342.95435884974336
1787657853.8590994,5.033106327056885,78.09074948766731,63.94622263181622,446.68658800287045,379.1306859039795,484.97849236732895,342.95546287917585
1787657853.8920994,5.06610631942749,78.08983985456572,63.94586321006675,446.68595640103604,379.12994300650564,484.97845445985234,342.9564405204655
1787657853.921103,5.095109939575195,78.08902681856243,63.94554221160615,446.68540128758383,379.1292900755626,484.9784347672349,342.9573142559508
1787657853.963103,5.137109994888306,78.09111186788881,63.94636561441945,446.6845974294592,379.12834456822304,484.9750895207542,342.9550734751627
1787657853.993103,5.167109966278076,78.09111492693945,63.946367015378485,446.6840232463882,379.1276692073711,484.9742109791301,342.9550701220682
1787657854.0231037,5.197110652923584,78.09111972395466,63.94636934944721,446.68344904962765,379.12699383041735,484.97333048935764,342.95506481733224
1787657854.060104,5.2341108322143555,78.09112803268428,63.94637351544776,446.6827408863999,379.12616088053613,484.9722419165923,342.9550555873112
1787657854.0881038,5.262110710144043,78.09512015817839,63.951188751032674,446.68220498402565,379.12553054588795,484.9652614633718,342.9496645744892
1787657854.1241007,5.298107624053955,78.09675513721366,63.9531525407132,446.6815160227495,379.124720181567,484.9616923080017,342.94745949886743
1787657854.1621008,5.3361077308654785,78.09852123031534,63.95527219018063,446.68078872145503,379.1238647212675,484.95786376440617,342.9450781428279
1787657854.1911008,5.365107774734497,104.87557769189685,85.87724849433242,446.6802336764508,379.1232118708338,450.35943188672275,310.3114644704009
1787657854.2221065,5.396113395690918,104.87743011621934,85.87933191323319,446.6796402457963,379.1225138707487,450.35576449517333,310.3090142354067
1787657854.2611063,5.435113191604614,104.87196163970687,85.87436199718024,446.67889381099826,379.12163590539836,450.36201275746083,310.3158462897381
1787657854.2931063,5.467113256454468,104.87162781877053,85.87433583989112,446.6782813472306,379.12091551834277,450.36134924017983,310.3161691299087
1787657854.3191063,5.493113279342651,104.87135213072891,85.87431310361264,446.67778372098985,379.120330204531,450.36081448325393,310.3164361348644
1787657854.361111,5.535117864608765,104.87089840775722,85.87427352220216,446.6769797761644,379.11938459521286,450.3599587315113,310.316876302273
1787657854.390111,5.564117908477783,104.87397254656328,85.8760713320618,446.6764247311602,379.1187317447792,450.3556086087216,310.3133741429979
1787657854.4231126,5.597119569778442,104.87484431842422,85.8767042920067,446.67579309738335,379.11798880973436,450.35357168762806,310.31233914388446
